Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Page_HomePageUnlogin,400,198,173,241,351,664,146,729,0.00%,0.25832,1.22,0.19
Page_Login,400,138,122,163,218,481,109,633,0.00%,0.25836,1.21,0.19
Page_RequestTrial,400,164,160,183,315,507,75,561,0.00%,0.25835,1.56,0.19
Page_HomePageLoggedIn,400,105,74,184,314,497,66,500,0.00%,0.25837,1.11,0.58
Page_Search_1880224.IB,400,105,78,124,311,479,69,670,0.00%,0.25839,1.41,0.58
Page_bond-profile_1880224.IB,400,1101,779,1882,2325,5372,333,8000,0.00%,0.25836,2.6,0.6
API_Search_getSearchBond,500,132,124,145,157,442,103,734,0.000%,.13927,0.08,0.40
API_Search_getSearchIssuer,500,133,124,141,151,593,101,688,0.000%,.13928,0.08,0.40
API_getCssEntityScore,500,120,112,129,140,419,96,679,0.000%,.14016,0.09,0.40
API_getCssArticles,500,115,108,121,135,398,97,597,0.000%,.14015,0.08,0.42
